year,annotation,consumption,consumption residential,consumption non-residential
2009,,2410929.0,478236.0,1932693.0
2010,,2028791.0,347782.0,1681009.0
2011,,2062787.0,377698.0,1685089.0
2012,,2664248.0,466522.0,2197726.0
2013,,1626676.0,376627.0,1250049.0
2014,,1222701.0,338362.0,884339.0
2015,,1258458.0,271004.0,987454.0
2016,start of forecast,1400315.0,359701.0,1040614.0
2017,,1400094.0,359480.0,1040614.0
2018,,1400198.0,359584.0,1040614.0
2019,,1400467.0,359853.0,1040614.0
2020,,1400771.0,360157.0,1040614.0
2021,,1401367.0,360753.0,1040614.0
2022,,1402147.0,361533.0,1040614.0
2023,,1403105.0,362491.0,1040614.0
2024,,1404206.0,363592.0,1040614.0
2025,,1405397.0,364783.0,1040614.0
2026,,1406493.0,365879.0,1040614.0
2027,,1407771.0,367157.0,1040614.0
2028,,1409063.0,368449.0,1040614.0
2029,,1410457.0,369843.0,1040614.0
2030,,1411709.0,371095.0,1040614.0
2031,,1413005.0,372391.0,1040614.0
2032,,1414096.0,373482.0,1040614.0
2033,,1415100.0,374486.0,1040614.0
2034,,1416368.0,375754.0,1040614.0
2035,,1417566.0,376952.0,1040614.0
2036,,1418673.0,378059.0,1040614.0
2037,,1419817.0,379203.0,1040614.0
2038,,1420810.0,380196.0,1040614.0
2039,,1421868.0,381254.0,1040614.0
2040,,1422763.0,382149.0,1040614.0
