year,Base case cost,Modeled residential energy efficiency
2017,69404.9749962,79386.7213697
2018,78715.5001677,87685.1684058
2019,88598.5181245,96286.8731257
2020,94770.1464138,101662.479536
2021,98978.0747929,105221.831579
2022,98062.6100161,103745.454559
2023,100223.435661,105412.978029
2024,97956.4988835,102680.438238
2025,100033.921704,104280.050701
2026,98036.13216,101792.064062
2027,100030.152157,103323.047848
2028,97283.6491411,100140.498424
2029,94847.9947706,97236.0361638
2030,96218.4055321,98204.021415
2031,93750.5191301,95260.90273
2032,91074.1256679,92115.7602276
2033,93149.6365436,93728.8533511
2034,90357.6082259,90460.7287785
2035,86589.4206158,86301.9285117
2036,83380.3781778,82628.7242814
