year,Base case cost,Modeled water and wastewater efficiency
2017,36806.0844879,75945.6269476
2018,41343.4872132,77902.0566679
2019,47866.4911992,81263.5434827
2020,50880.9967033,82219.1892453
2021,52853.2475464,82478.7578632
2022,54226.4459771,82348.9540473
2023,55147.5347532,81931.0829616
2024,55911.9094811,81429.3610847
2025,56792.4694694,81032.5333377
2026,57784.1800914,80736.5518767
2027,58600.1462301,80341.9249912
2028,59246.3334036,79852.2183905
2029,60179.1589172,79583.1873426
2030,60660.0883375,79022.4254629
2031,61652.9642282,78837.8268177
