year,Base case cost,Modeled water and wastewater efficiency
2017,73320.9206076,52214.8589203
2018,77583.4126376,54993.2611408
2019,83062.8107406,58584.4641512
2020,85619.154397,60228.7696239
2021,87444.6463192,61387.2396292
2022,88661.2477226,62141.0876186
2023,89634.2588436,62733.8683908
2024,90363.6823182,63165.6436667
2025,91214.6338482,63679.894717
2026,92308.7169256,64357.7521527
2027,93159.2557583,64874.4884987
2028,93887.881198,65311.3133949
2029,94859.6295172,65911.5606669
2030,95466.354535,66269.4625823
2031,96437.7050432,66871.8934726
