year,Base case cost,Modeled biomass for heat (cordwood)
2017,233288.455124,247478.129277
2018,248268.105124,257820.799619
2019,267527.655124,271345.271385
2020,276515.445124,277291.465009
2021,282935.295124,281355.286438
2022,287215.195124,283852.812508
2023,290639.115124,285733.051219
2024,293207.055124,286995.636133
2025,296202.985124,288589.592628
2026,300054.895124,290831.032318
2027,303050.825124,292453.769621
2028,305618.765124,293773.932336
2029,309042.685124,295740.57823
2030,311182.635124,296771.084082
2031,314606.555124,298763.905966
2032,,
2033,,
2034,,
2035,,
2036,,
