year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2003,,6467.84,653688.0,0.0,653688.0
2004,,6467.84,638676.0,0.0,638676.0
2005,,6467.84,621038.0,0.0,621038.0
2006,,6467.84,631255.0,0.0,631255.0
2007,,6467.84,651749.0,0.0,651749.0
2008,,6467.84,660484.0,0.0,660484.0
2009,,6467.84,715166.0,0.0,715166.0
2010,,6467.84,694388.0,0.0,694388.0
2011,,6467.84,689401.0,0.0,689401.0
2012,,6467.84,729312.0,0.0,729312.0
2013,,6467.84,725568.0,0.0,725568.0
2014,,6467.84,634584.0,0.0,634584.0
2015,,6467.84,596952.0,0.0,596952.0
2016,start of forecast,6467.84,661000.0,3565.0,657435.0
2017,,6467.84,661000.0,3565.0,657435.0
2018,,6467.84,661000.0,3565.0,657435.0
2019,,6467.84,661000.0,3565.0,657435.0
2020,,6467.84,660000.0,3565.0,656435.0
2021,,6467.84,660000.0,3565.0,656435.0
2022,,6467.84,660000.0,3565.0,656435.0
2023,,6467.84,660000.0,3565.0,656435.0
2024,,6467.84,660000.0,3565.0,656435.0
2025,,6467.84,660000.0,3565.0,656435.0
2026,,6467.84,660000.0,3565.0,656435.0
2027,,6467.84,659000.0,3565.0,655435.0
2028,,6467.84,659000.0,3565.0,655435.0
2029,,6467.84,659000.0,3565.0,655435.0
2030,,6467.84,659000.0,3565.0,655435.0
2031,,6467.84,658000.0,3565.0,654435.0
2032,,6467.84,658000.0,3565.0,654435.0
2033,,6467.84,658000.0,3565.0,654435.0
2034,,6467.84,658000.0,3565.0,654435.0
2035,,6467.84,658000.0,3565.0,654435.0
2036,,6467.84,657000.0,3565.0,653435.0
2037,,6467.84,657000.0,3565.0,653435.0
2038,,6467.84,657000.0,3565.0,653435.0
2039,,6467.84,657000.0,3565.0,653435.0
2040,,6467.84,657000.0,3565.0,653435.0
