year,Base case cost,Modeled residential ashp
2017,270756.19796,278319.596946
2018,298140.708055,294190.485859
2019,330163.22855,314852.642383
2020,344518.15153,318351.130843
2021,354456.175132,317744.494684
2022,362185.749044,315204.3038
2023,367706.873268,310724.842584
2024,371019.547802,304300.529331
2025,372289.772195,296029.858882
2026,377748.566509,292169.555047
2027,383207.360823,288525.849649
2028,387574.396274,284017.420713
2029,388545.437102,276304.047949
2030,391783.315744,271090.262926
2031,393659.125706,264664.863883
