year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,42135.41,2453600.0,2453600.0
2004,,42135.41,2451400.0,2451400.0
2005,,42135.41,2561200.0,2561200.0
2006,,42135.41,2578000.0,2578000.0
2007,,42135.41,2575000.0,2575000.0
2008,,42135.41,2595900.0,2595900.0
2009,,42135.41,2587800.0,2587800.0
2010,,42135.41,2736900.0,2736900.0
2011,,42135.41,2652700.0,2652700.0
2012,,42135.41,2758800.0,2758800.0
2013,,42135.41,2592900.0,2592900.0
2014,,42135.41,2629600.0,2629600.0
2015,,42135.41,2673800.0,2673800.0
2016,start of forecast,42135.41,2610000.0,2610000.0
2017,,42135.41,2607000.0,2607000.0
2018,,42135.41,2603000.0,2603000.0
2019,,42135.41,2600000.0,2600000.0
2020,,42135.41,2596000.0,2596000.0
2021,,42135.41,2592000.0,2592000.0
2022,,42135.41,2589000.0,2589000.0
2023,,42135.41,2586000.0,2586000.0
2024,,42135.41,2583000.0,2583000.0
2025,,42135.41,2580000.0,2580000.0
2026,,42135.41,2575000.0,2575000.0
2027,,42135.41,2572000.0,2572000.0
2028,,42135.41,2568000.0,2568000.0
2029,,42135.41,2563000.0,2563000.0
2030,,42135.41,2554000.0,2554000.0
2031,,42135.41,2546000.0,2546000.0
2032,,42135.41,2542000.0,2542000.0
2033,,42135.41,2538000.0,2538000.0
2034,,42135.41,2534000.0,2534000.0
2035,,42135.41,2530000.0,2530000.0
2036,,42135.41,2524000.0,2524000.0
2037,,42135.41,2520000.0,2520000.0
2038,,42135.41,2515000.0,2515000.0
2039,,42135.41,2511000.0,2511000.0
2040,,42135.41,2505000.0,2505000.0
