year,Base case diesel consumed,Modeled solar power (pv)
2016,204286.4497,200988.482837
2017,204051.637688,200780.054561
2018,203738.555007,200493.144544
2019,203503.742996,200284.295817
2020,203190.660314,199996.968713
2021,202877.577633,199709.435564
2022,202642.765622,199499.968689
2023,202407.95361,199290.299054
2024,202173.141599,199080.428279
2025,201938.329588,198870.357974
2026,201546.976236,198503.548395
2027,201312.164225,198293.083807
2028,200999.081544,198004.153769
2029,200607.728192,197636.759839
2030,199903.292158,196956.091552
2031,199277.126795,196353.503794
2032,198964.044114,196063.810097
2033,198650.961432,195773.929287
2034,198337.878751,195483.862863
2035,198024.796069,195193.612309
