year,Base case diesel consumed,Modeled wind power
2019,203503.742996,169821.494023
2020,203190.660314,169508.411342
2021,202877.577633,169195.32866
2022,202642.765622,168960.516649
2023,202407.95361,168725.704638
2024,202173.141599,168490.892627
2025,201938.329588,168256.080616
2026,201546.976236,167864.727264
2027,201312.164225,167629.915253
2028,200999.081544,167316.832571
2029,200607.728192,166925.479219
2030,199903.292158,166221.043186
2031,199277.126795,165594.877823
2032,198964.044114,165281.795141
2033,198650.961432,164968.71246
2034,198337.878751,164655.629778
2035,198024.796069,164342.547097
2036,197555.172047,163872.923074
2037,197242.089365,163559.840393
2038,196850.736013,163168.487041
