year,Base case cost,Modeled solar power (pv)
2016,952236.315942,982332.759272
2017,1136598.10006,1163664.1766
2018,1276821.96077,1301471.30163
2019,1465823.03215,1487515.62844
2020,1559227.66094,1579180.56446
2021,1623532.29798,1642132.92933
2022,1674204.35197,1691640.36485
2023,1711578.98647,1728033.65754
2024,1740979.84597,1756569.605
2025,1779213.43453,1793865.853
2026,1822608.54196,1836283.74603
2027,1861261.47469,1874042.71494
2028,1894612.58754,1906581.18784
2029,1935875.89881,1946961.0885
2030,1963494.93528,1973866.08746
2031,2008465.31145,2017962.6198
2032,2054250.21303,2062893.68948
2033,2103093.67697,2110873.82888
2034,2152815.58123,2159752.06651
2035,2188151.17415,2194406.38275
