year,Base case diesel consumed,Modeled wind power,Bethel renewable energy project,Bethel wind power project times 4,Bethel wind farm construction (bnc land)
2017,3142733.91905,,2964915.2612,3089295.97259,2244890.78585
2018,3144910.21665,,2967091.55881,3091472.2702,2247067.08346
2019,3146941.42775,2249098.29455,2969122.76991,3093503.4813,2249098.29455
2020,3149770.61464,2251927.48144,2971951.9568,3096332.66819,2251927.48144
2021,3151801.82574,2253958.69254,2973983.1679,3098363.87929,2253958.69254
2022,3153615.40708,2255772.27388,2975796.74924,3100177.46063,2255772.27388
2023,3155211.35866,2257368.22546,2977392.70081,3101773.4122,2257368.22546
2024,3156879.85349,2259036.72029,2979061.19565,3103441.90704,2259036.72029
2025,3158620.89157,2260777.75838,2980802.23373,3105182.94512,2260777.75838
2026,3160434.47291,2262591.33971,2982615.81507,3106996.52646,2262591.33971
2027,3163046.03004,2265202.89684,2985227.3722,3109608.08359,2265202.89684
2028,3164714.52487,2266871.39167,2986895.86703,3111276.57842,2266871.39167
2029,3166600.64946,2268757.51627,2988781.99162,3113162.70301,2268757.51627
2030,3168486.77405,2270643.64086,2990668.11621,3115048.8276,2270643.64086
2031,3170372.89865,2272529.76545,2992554.24081,3116934.95219,2272529.76545
2032,3172186.47999,2274343.34679,2994367.82214,3118748.53353,2274343.34679
2033,3173709.88831,2275866.75511,2995891.23047,3120271.94186,2275866.75511
2034,3175233.29663,2277390.16344,2997414.63879,3121795.35018,2277390.16344
2035,3177191.96448,2279348.83128,2999373.30664,3123754.01803,2279348.83128
2036,3179295.71883,2281452.58564,3001477.06099,3125857.77238,2281452.58564
2037,3181544.55969,2283701.4265,,,
2038,3184083.57357,2286240.44037,,,
