year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,86169.16,12879.79,96293.89,114834.54
2018,86955.12,12889.74,96293.89,117319.65
2019,87812.52,12899.97,96293.89,119804.76
2020,88669.93,12910.3,96293.89,122289.87
2021,89527.33,12920.61,96293.89,124774.98
2022,90384.74,12931.03,96293.89,127260.1
2023,91242.14,12941.53,96293.89,128502.65
2024,92099.55,12952.28,96293.89,130987.76
2025,93028.4,12963.13,96293.89,133472.87
2026,93885.81,12974.12,96293.89,135957.99
2027,94814.66,12985.01,96293.89,138443.1
2028,95743.52,12995.84,96293.89,140928.21
2029,96743.82,13007.99,96293.89,143413.32
2030,97672.68,13019.81,96293.89,147140.99
2031,98601.53,13031.2,96293.89,149626.1
2032,99458.94,,,150868.66
2033,100244.89,,,153353.77
2034,101030.84,,,155838.88
2035,101888.25,,,158323.99
2036,102674.2,,,159566.55
