year,Base case cost,Brevig mission water system heat recovery
2019,491056.559196,475342.15473
2020,506463.580977,486958.511572
2021,517055.908452,494535.229066
2022,524759.419342,499700.666695
2023,530537.05251,503268.633321
2024,534388.807955,505238.386748
2025,540166.441123,508867.477636
2026,546907.013153,513340.629314
2027,551721.707459,516213.443979
2028,556536.401766,519114.384333
2029,562314.034934,522857.360055
2030,566165.790379,524998.020809
2031,572906.362409,529608.582233
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
