year,annotation,Average Load
2003,,91.0
2004,,121.0
2005,,138.0
2006,,139.0
2007,,141.0
2008,,150.0
2009,,148.0
2010,,149.0
2011,,152.0
2012,,171.0
2013,,181.0
2014,,182.0
2015,,185.0
2016,start of forecast,180.0
2017,,180.0
2018,,181.0
2019,,182.0
2020,,182.0
2021,,183.0
2022,,184.0
2023,,186.0
2024,,187.0
2025,,189.0
2026,,189.0
2027,,190.0
2028,,189.0
2029,,190.0
2030,,188.0
2031,,189.0
2032,,189.0
2033,,189.0
2034,,189.0
2035,,189.0
2036,,188.0
2037,,187.0
2038,,187.0
2039,,186.0
2040,,186.0
