year,Base case cost,Modeled water and wastewater efficiency
2017,64546.2852467,50447.9606198
2018,67062.7161396,52019.8758096
2019,70592.7778328,54268.8348407
2020,72317.7346907,55319.039689
2021,73463.9047772,55986.3431203
2022,74393.5965025,56511.8407104
2023,74955.756496,56794.5946233
2024,75448.8705577,57033.7072385
2025,76089.3782628,57373.1397654
2026,76806.1017421,57765.5352596
2027,77448.9042433,58110.6255747
2028,77945.9591044,58360.590039
2029,78677.9252954,58769.7466654
2030,79116.6165667,58985.3440012
2031,79911.167636,59439.255617
