year,Base case cost,Modeled diesel efficiency
2019,97334.7480922,258578.270412
2020,104111.144272,260752.096143
2021,108612.038606,260950.718232
2022,111811.87919,260057.808716
2023,114039.061296,258369.770217
2024,115618.400958,256179.801597
2025,117818.738764,254639.354843
2026,120319.732733,253455.218296
2027,122839.517711,252369.205903
2028,124689.089995,250753.051243
2029,127515.794806,250102.486024
2030,129453.953281,248719.627124
2031,132226.969491,248169.436525
2032,134982.089502,247674.955919
2033,137719.313312,247234.498249
2034,140438.640922,246846.416086
2035,142208.575115,245662.284878
2036,145624.06491,246039.578047
2037,147062.024591,244683.046987
2038,150467.671476,245177.754524
