year,Base case cost,Modeled residential ashp
2017,75997.0780041,63301.3368685
2018,83247.2993589,63633.6229818
2019,93190.4600739,64387.3495868
2020,98162.0404314,64412.9636387
2021,101476.427336,64206.9850043
2022,103962.217515,63893.2494812
2023,99072.1152589,56747.9838621
2024,100429.609568,56218.2086946
2025,101981.031635,55721.6127845
2026,104114.236978,55293.5092768
2027,105859.586804,54844.3651428
2028,99907.3364506,47064.0927776
2029,101714.399803,46528.8142306
2030,102617.93148,45984.0881586
2031,104605.701168,45480.3596131
