year,Base case cost,Modeled non-residential ashp
2017,131413.783412,160846.571612
2018,146589.049151,171057.599775
2019,168043.735196,185787.427655
2020,177986.15068,192277.004234
2021,185312.141037,196905.310468
2022,190544.991291,200047.250001
2023,194207.98647,202077.734723
2024,197347.696623,203746.939933
2025,201010.691801,205805.048789
2026,205720.25703,208626.996768
2027,209383.252209,210711.450052
2028,212522.962362,212433.358937
2029,216709.242565,214918.191583
2030,219325.667693,216289.380268
2031,224035.232922,219173.42839
