year,Base case cost,Modeled non-residential energy efficiency
2017,559599.137984,528333.832267
2018,577381.614229,543561.959879
2019,602312.580949,565756.599578
2020,613993.136771,575195.693946
2021,622477.887353,581631.564368
2022,628676.371129,585872.340354
2023,632918.746419,588297.433192
2024,636541.273333,590166.846086
2025,640880.211976,592740.604209
2026,646362.284022,596469.641643
2027,650604.659313,599045.574561
2028,654323.749578,601133.749102
2029,659185.973247,604374.644553
2030,662188.651782,605865.195146
2031,667670.723828,609767.80012
