year,Base case cost,Modeled non-residential energy efficiency
2017,361373.245573,410834.651684
2018,388349.185848,435821.719795
2019,425767.425585,471286.269957
2020,444041.449642,487671.250216
2021,456224.132347,498015.009217
2022,465796.240187,505793.693125
2023,472757.773161,511006.298707
2024,477978.922892,514521.139606
2025,484940.455866,519814.432549
2026,492772.180462,526015.949813
2027,499733.713436,531386.192222
2028,504954.863167,535054.975337
2029,512786.587763,541367.895841
2030,517137.545872,544239.050354
2031,525839.46209,551491.249363
