year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,33886.0,25055.7604584
2018,33886.0,25055.7604584
2019,33886.0,25055.7604584
2020,33886.0,25055.7604584
2021,33886.0,25055.7604584
2022,33886.0,25055.7604584
2023,33886.0,25055.7604584
2024,33886.0,25055.7604584
2025,33886.0,25055.7604584
2026,33886.0,25055.7604584
2027,33886.0,25055.7604584
2028,33886.0,25055.7604584
2029,33886.0,25055.7604584
2030,33886.0,25055.7604584
2031,33886.0,25055.7604584
2032,,
2033,,
2034,,
2035,,
2036,,
