year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,52929.78,1041.68,49233.78,33684.71
2018,52855.78,1025.21,49233.78,33684.71
2019,52781.79,1009.9,49233.78,32611.98
2020,52707.79,994.51,49233.78,32611.98
2021,52633.79,978.72,49233.78,31539.25
2022,52559.8,963.28,49233.78,31539.25
2023,52485.8,947.61,49233.78,30466.52
2024,52411.81,932.39,49233.78,29393.8
2025,52263.82,917.35,49233.78,29393.8
2026,52189.82,902.62,49233.78,28321.07
2027,52115.82,887.7,49233.78,28321.07
2028,52041.83,873.32,49233.78,27248.34
2029,51967.83,862.35,49233.78,27248.34
2030,51967.83,850.77,49233.78,27248.34
2031,51893.84,838.39,49233.78,26175.61
2032,51819.84,,,26175.61
2033,51745.84,,,25102.89
2034,51671.85,,,25102.89
2035,51597.85,,,24030.16
2036,51523.86,,,24030.16
