year,Base case diesel consumed,Modeled diesel efficiency
2019,50721.9650636,46110.8773305
2020,50499.9777072,45909.0706429
2021,50351.9861362,45774.5328511
2022,50129.9987798,45572.7261635
2023,49982.0072089,45438.1883717
2024,49834.0156379,45303.6505799
2025,49612.0282815,45101.8438923
2026,49464.0367105,44967.3061005
2027,49242.0493541,44765.4994128
2028,49094.0577832,44630.9616211
2029,48946.0662122,44496.4238293
2030,48798.0746413,44361.8860375
2031,48650.0830703,44227.3482458
2032,48502.0914994,44092.810454
2033,48280.104143,43891.0037664
2034,48058.1167866,43689.1970787
2035,47910.1252156,43554.6592869
2036,47688.1378592,43352.8525993
2037,47614.1420737,43285.5837034
2038,47466.1505028,43151.0459116
