year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,19875.13,1270541.0,1270541.0
2004,,19875.13,1205250.0,1205250.0
2005,,19875.13,1160809.0,1160809.0
2006,,19875.13,1146151.0,1146151.0
2007,,19875.13,1105662.0,1105662.0
2008,,19875.13,1092873.0,1092873.0
2009,,19875.13,1123447.0,1123447.0
2010,,19875.13,1152814.0,1152814.0
2011,,19875.13,1175293.0,1175293.0
2012,,19875.13,1198236.0,1198236.0
2013,,19875.13,1206575.0,1206575.0
2014,,19875.13,1215857.0,1215857.0
2015,,19875.13,1263825.0,1263825.0
2016,start of forecast,19875.13,1247000.0,1247000.0
2017,,19875.13,1251000.0,1251000.0
2018,,19875.13,1254000.0,1254000.0
2019,,19875.13,1258000.0,1258000.0
2020,,19875.13,1261000.0,1261000.0
2021,,19875.13,1265000.0,1265000.0
2022,,19875.13,1269000.0,1269000.0
2023,,19875.13,1272000.0,1272000.0
2024,,19875.13,1276000.0,1276000.0
2025,,19875.13,1279000.0,1279000.0
2026,,19875.13,1283000.0,1283000.0
2027,,19875.13,1287000.0,1287000.0
2028,,19875.13,1291000.0,1291000.0
2029,,19875.13,1295000.0,1295000.0
2030,,19875.13,1299000.0,1299000.0
2031,,19875.13,1303000.0,1303000.0
2032,,19875.13,1307000.0,1307000.0
2033,,19875.13,1310000.0,1310000.0
2034,,19875.13,1314000.0,1314000.0
2035,,19875.13,1317000.0,1317000.0
2036,,19875.13,1321000.0,1321000.0
2037,,19875.13,1324000.0,1324000.0
2038,,19875.13,1328000.0,1328000.0
2039,,19875.13,1331000.0,1331000.0
2040,,19875.13,1335000.0,1335000.0
