year,Base case diesel consumed,Elim wind feasibility,Modeled wind power
2019,92151.8549423,68521.1306263,64206.1603662
2020,92371.612943,68740.8886269,64425.9183668
2021,92664.6236105,69033.8992945,64718.9290344
2022,92957.6342781,69326.909962,65011.9397019
2023,93177.3922787,69546.6679627,65231.6977026
2024,93470.4029463,69839.6786302,65524.7083701
2025,93690.1609469,70059.4366309,65744.4663708
2026,93983.1716145,70352.4472984,66037.4770383
2027,94276.182282,70645.457966,66330.4877059
2028,94569.1929495,70938.4686335,66623.4983734
2029,94862.2036171,71231.4793011,66916.509041
2030,95155.2142846,71524.4899686,67209.5197085
2031,95448.2249522,71817.5006362,67502.530376
2032,95741.2356197,72110.5113037,67795.5410436
2033,95960.9936204,72330.2693044,68015.2990442
2034,96254.0042879,72623.2799719,68308.3097118
2035,96473.7622886,72843.0379726,68528.0677124
2036,96766.7729561,73136.0486401,68821.07838
2037,96986.5309568,73355.8066408,69040.8363806
2038,97279.5416243,73648.8173083,69333.8470482
