year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,5314.18682429,3932.49824997
2018,5314.18682429,3932.49824997
2019,5314.18682429,3932.49824997
2020,5314.18682429,3932.49824997
2021,5314.18682429,3932.49824997
2022,5314.18682429,3932.49824997
2023,5314.18682429,3932.49824997
2024,5314.18682429,3932.49824997
2025,5314.18682429,3932.49824997
2026,5314.18682429,3932.49824997
2027,5314.18682429,3932.49824997
2028,5314.18682429,3932.49824997
2029,5314.18682429,3932.49824997
2030,5314.18682429,3932.49824997
2031,5314.18682429,3932.49824997
