year,Base case diesel consumed,Modeled diesel efficiency
2019,205368.044627,186698.222389
2020,205505.673705,186823.339731
2021,205505.673705,186823.339731
2022,205574.488243,186885.898403
2023,205574.488243,186885.898403
2024,205643.302782,186948.457074
2025,205712.117321,187011.015746
2026,205780.931859,187073.574417
2027,205918.560936,187198.69176
2028,205987.375475,187261.250432
2029,206056.190014,187323.809103
2030,206193.819091,187448.926446
2031,206262.633629,187511.485118
2032,206331.448168,187574.043789
2033,206400.262707,187636.602461
2034,206469.077245,187699.161132
2035,206537.891784,187761.719804
2036,206537.891784,187761.719804
2037,206606.706323,187824.278475
2038,206606.706323,187824.278475
