year,Base case cost,Modeled residential energy efficiency
2017,475552.360137,468072.312427
2018,496636.085124,486144.888921
2019,527173.366786,512806.706948
2020,538088.090773,521443.19924
2021,550330.563867,532037.156914
2022,551365.963177,531613.798798
2023,548116.400604,527270.760614
2024,544662.700512,522736.848807
2025,541004.862901,518011.752505
2026,539013.185354,514789.615908
2027,535831.187117,510477.436487
2028,531509.902569,505125.959095
2029,527868.594914,500378.314403
2030,522254.920916,493845.65776
2031,519021.406795,489440.621259
2032,525822.138731,495080.802456
2033,523013.429605,491034.332182
2034,530511.149894,497304.754692
2035,524794.925633,490635.225476
2036,521271.73519,485904.934036
