year,Base case diesel consumed,Modeled residential energy efficiency
2017,251126.737946,199093.145107
2018,251126.737946,199093.145107
2019,249454.762875,197421.170036
2020,249454.762875,197421.170036
2021,247782.787805,195749.194966
2022,246110.812735,194077.219896
2023,244438.837664,192405.244825
2024,242766.862594,190733.269755
2025,241094.887524,189061.294685
2026,237750.937383,185717.344544
2027,236078.962313,184045.369474
2028,234406.987242,182373.394403
2029,231063.037102,179029.444263
2030,227719.086961,175685.494122
2031,224375.13682,172341.543981
2032,222703.16175,170669.568911
2033,221031.18668,168997.593841
2034,219359.211609,167325.61877
2035,217687.236539,165653.6437
2036,214343.286398,162309.693559
