year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,,12551532.26,14172899.49,,19677602.54,5301711.03
2018,,13727193.21,15087290.41,,20294371.38,5449358.91
2019,,15338284.14,16328329.82,,21139573.13,5649772.83
2020,,16165601.1,16909655.48,,21573595.65,5736227.1
2021,,16688117.08,17253077.48,,21847715.14,5784181.22
2022,,17123547.06,17497246.36,,22076148.04,5811908.57
2023,,17384805.05,17572396.27,,22213207.78,5807433.56
2024,,17646063.04,17635788.74,,22350267.53,5799907.51
2025,,17907321.03,17678475.26,,22487327.27,5786717.33
2026,,18255665.01,17776294.39,,22670073.6,5782003.35
2027,,18560466.0,17861946.37,,22829976.63,5778496.98
2028,,18821723.99,17901342.55,,22967036.37,5766011.72
2029,,19126524.97,17860698.83,,23126939.41,5726981.47
2030,,19344239.96,17748516.96,,23241155.86,5675699.3
2031,,19692583.95,17763920.45,,23423902.18,5650828.28
2032,,,17867036.83,,,5651811.89
2033,,,18006778.44,,,5660272.87
2034,,,18132237.93,,,5665289.19
2035,,,18150704.43,,,5650758.69
2036,,,18217092.5,,,5640475.51
