year,Base case cost,Modeled solar power (pv)
2016,4462233.68845,4742402.19579
2017,5475230.47295,5733743.5678
2018,6220286.23343,6461261.16784
2019,7227936.36476,7447618.78882
2020,7721227.98192,7927323.03986
2021,8019331.68308,8214932.52465
2022,8247715.92328,8433845.40804
2023,8351614.43346,8530064.38647
2024,8448595.07634,8619542.50433
2025,8533848.17731,8697466.25589
2026,8666845.99839,8822530.41355
2027,8780053.44273,8928366.11746
2028,8859944.86053,9001434.77645
2029,8911551.02934,9045999.13316
2030,8908736.53448,9037053.33077
2031,8991280.77295,9112497.14931
2032,9118480.10409,9232756.51139
2033,9269355.95225,9376483.77567
2034,9414465.95097,9514604.87378
2035,9476431.97072,9570818.07874
