year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,22149.66,144422.98,186373.67,10492.22,143449.87,237882.42
2018,23451.08,152684.88,200399.27,10935.29,148935.75,250028.77
2019,25258.19,164251.54,218756.14,11535.62,156615.99,266128.49
2020,26152.02,169869.63,225351.28,11845.63,160346.39,272467.35
2021,26753.82,173504.86,234966.59,12073.34,162760.18,279901.12
2022,27238.48,176479.14,243968.64,12250.2,164735.1,286670.0
2023,27568.67,178462.0,246404.76,12376.18,166051.71,288961.15
2024,27847.49,180114.38,253963.44,12485.27,167148.89,294292.45
2025,28179.55,182097.23,256453.78,12613.08,168465.5,296610.56
2026,28572.62,184410.56,265005.2,12768.48,170001.55,302795.43
2027,28910.53,186393.42,273250.0,12902.61,171318.16,308647.85
2028,29197.78,188045.8,275415.63,13020.71,172415.34,310624.53
2029,29558.65,190028.65,283814.02,13180.67,173731.95,316553.33
2030,29815.0,191350.56,297254.23,13305.09,174609.7,325302.14
2031,30271.05,193994.36,300936.09,13488.96,176365.18,328572.65
2032,,,310129.03,,,335076.48
2033,,,319448.47,,,341643.2
2034,,,329381.74,,,348695.11
2035,,,337970.45,,,354538.55
2036,,,348165.75,,,361720.75
