year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,46722.15,6858.18,34674.83,36240.62
2018,46799.38,6860.5,34674.83,36240.62
2019,46953.83,6863.17,34674.83,37263.17
2020,47108.29,6865.59,34674.83,37263.17
2021,47262.74,6868.19,34674.83,38285.71
2022,47417.19,6870.67,34674.83,38285.71
2023,47494.42,6873.02,34674.83,39308.25
2024,47648.87,6875.47,34674.83,39308.25
2025,47803.33,6878.12,34674.83,40330.8
2026,47957.78,6881.04,34674.83,41353.34
2027,48112.24,6884.11,34674.83,41353.34
2028,48343.92,6887.23,34674.83,42375.89
2029,48498.37,6890.29,34674.83,43398.43
2030,48652.82,6893.37,34674.83,43398.43
2031,48807.28,6896.28,34674.83,44420.98
2032,49038.96,,,44420.98
2033,49193.41,,,45443.52
2034,49347.86,,,46466.07
2035,49502.32,,,46466.07
2036,49656.77,,,47488.61
