year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,52508.7,166438.52,85169.36,88352.49,126286.22,134581.03
2018,55848.94,177023.23,88657.2,91211.72,130369.04,138932.02
2019,60395.06,191430.2,93404.54,95102.26,135926.22,144854.21
2020,62436.92,197898.64,95536.0,96851.09,138421.28,147513.15
2021,63829.41,202308.94,96989.27,98044.32,140122.45,149326.06
2022,64850.36,205543.15,98055.0,98918.72,141369.98,150655.53
2023,65592.56,207895.31,98830.07,99553.78,142277.28,151622.42
2024,66149.03,209659.43,99411.38,100029.59,142957.75,152347.58
2025,66891.68,212011.59,100186.46,100665.87,143865.04,153314.47
2026,67727.9,214657.77,101058.42,101383.72,144885.74,154402.22
2027,68378.86,216715.91,101736.61,101943.58,145679.63,155248.24
2028,69029.98,218774.05,102414.8,102503.8,146473.51,156094.27
2029,69773.38,221126.21,103189.87,103142.05,147380.8,157061.16
2030,70239.1,222596.3,103674.3,103543.88,147947.86,157665.46
2031,71168.56,225536.5,104643.14,104342.18,149081.98,158874.07
2032,,,105515.1,,,159961.82
2033,,,106387.06,,,161049.57
2034,,,113304.93,,,167492.31
2035,,,113918.45,,,168240.87
2036,,,114838.72,,,169363.71
