year,Base case cost,Modeled residential ashp
2017,105662.830484,203451.626431
2018,112382.494035,208387.179121
2019,121528.702756,215668.180269
2020,125635.163815,218182.672797
2021,128435.023627,219485.447403
2022,130488.254156,220109.073329
2023,131981.512723,220230.580179
2024,133101.456648,220027.015111
2025,134594.715215,220208.778874
2026,136274.631103,220597.394886
2027,137581.232349,220658.845306
2028,138887.833594,220748.022321
2029,140381.092161,221042.054894
2030,141314.378765,220829.193168
2031,143180.951974,221531.047912
