year,Base case cost,Modeled water and wastewater efficiency
2017,374761.051147,1502320.97544
2018,407871.870653,1494633.78744
2019,453448.852173,1495724.39801
2020,476898.174751,1483096.19969
2021,493076.346375,1466396.17646
2022,504608.115081,1447303.27854
2023,513631.921597,1427194.11077
2024,520587.663932,1406350.66354
2025,528277.941406,1386571.74321
2026,538181.518235,1368814.14323
2027,547308.415284,1351124.97968
2028,554186.196534,1332524.8734
2029,561252.749178,1314546.82854
2030,565443.767054,1295235.26661
2031,575362.396529,1280172.09643
