year,Base case diesel consumed,Modeled wind power
2019,193083.668614,166563.512947
2020,195221.6388,168701.483133
2021,197468.582815,170948.427148
2022,199020.940589,172500.784921
2023,201319.314159,174799.158492
2024,202850.142322,176329.986654
2025,204621.189568,178101.033901
2026,207582.623498,181062.467831
2027,209556.363666,183036.207999
2028,211609.323403,185089.167736
2029,213391.359213,186871.203546
2030,215304.798529,188784.642862
2031,217494.61455,190974.458883
2032,220094.944091,193574.788424
2033,222147.025005,195626.869338
2034,224473.379008,197953.223341
2035,226594.380527,200074.22486
2036,228578.41196,202058.256293
2037,230767.819457,204247.66379
2038,233504.532097,206984.37643
