year,Base case diesel consumed,Modeled non-residential ashp
2017,131524.489731,92067.142851
2018,131524.489731,92067.142851
2019,131524.489731,92067.142851
2020,131524.489731,92067.142851
2021,131524.489731,92067.142851
2022,131524.489731,92067.142851
2023,131524.489731,92067.142851
2024,131524.489731,92067.142851
2025,131524.489731,92067.142851
2026,131524.489731,92067.142851
2027,131524.489731,92067.142851
2028,131524.489731,92067.142851
2029,131524.489731,92067.142851
2030,131524.489731,92067.142851
2031,131524.489731,92067.142851
