year,Base case cost,Modeled non-residential energy efficiency
2017,1182462.46323,1174432.96133
2018,1242221.58973,1223046.66644
2019,1321900.42506,1289287.14252
2020,1357755.90096,1317045.50668
2021,1383651.52244,1336126.30123
2022,1403571.23127,1350034.10617
2023,1417515.02745,1358766.88214
2024,1427474.88187,1364075.97175
2025,1439426.70717,1371219.43258
2026,1455362.47424,1381948.69946
2027,1469306.27042,1391001.91516
2028,1479266.12484,1396623.93419
2029,1495201.8919,1407579.65846
2030,1503169.77544,1411594.02147
2031,1519105.5425,1422692.00955
