year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,3178.95768259,2066.32249368
2018,3124.85586716,2031.15631366
2019,3068.65787191,1994.62761674
2020,2993.82331977,1945.98515785
2021,2938.06546901,1909.74255486
2022,2867.53514381,1863.89784348
2023,2811.87184754,1827.7167009
2024,2735.0176914,1777.76149941
2025,2681.92800854,1743.25320555
2026,2622.13161564,1704.38555017
2027,2560.92356415,1664.6003167
2028,2498.55089432,1624.05808131
2029,2431.52441228,1580.49086798
2030,2368.64900555,1539.62185361
2031,2310.17437788,1501.61334562
