year,Base case cost,Modeled water and wastewater efficiency
2017,50721.9913987,41306.0985091
2018,52467.4488135,42329.6515083
2019,54878.9505416,43788.2193349
2020,56053.5570232,44445.2242616
2021,56837.6874848,44851.0702213
2022,57450.659439,45147.9196877
2023,57895.4566733,45337.8457638
2024,58225.8995105,45455.6304873
2025,58668.0340754,45648.2520307
2026,59164.8205409,45878.5261187
2027,59606.9825084,46075.5511764
2028,59937.5673069,46202.2012308
2029,60422.1786647,46430.1767231
2030,60686.6698807,46517.3482251
2031,61237.8120145,46793.2004128
