year,Base case cost,Modeled diesel efficiency
2019,166230.462958,320152.590298
2020,173540.789245,322836.607383
2021,178626.233618,323590.857688
2022,182440.316898,323280.002078
2023,184983.039085,321901.915322
2024,187207.920998,320321.359079
2025,189750.643185,319114.197987
2026,192929.045918,318567.398462
2027,195471.768105,317523.244789
2028,197378.809745,315979.849364
2029,200239.372205,315380.097388
2030,202146.413845,313988.514482
2031,205006.976305,313537.016875
2032,208185.379039,313445.996453
2033,211363.781772,313424.830949
2034,214542.184506,313471.883184
2035,216449.226146,312429.771455
2036,219945.469153,312897.44572
2037,221852.510793,311983.924179
2038,225030.913526,312288.229105
