year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,1258288.2,14254.89,1672991.49,1124391.57
2018,1274865.15,14247.96,1672991.49,1123017.67
2019,1266052.44,14222.5,1672991.49,1114774.24
2020,1265470.4,14203.74,1672991.49,1109278.62
2021,1268143.92,14199.2,1672991.49,1107904.71
2022,1266392.57,14202.84,1672991.49,1109278.62
2023,1266599.1,14200.38,1672991.49,1107904.71
2024,1266952.04,14197.75,1672991.49,1107904.71
2025,1266508.17,14193.29,1672991.49,1106530.81
2026,1266197.38,14176.37,1672991.49,1101035.19
2027,1265481.27,14147.02,1672991.49,1091417.85
2028,1264362.22,14106.12,1672991.49,1079052.7
2029,1264392.13,14105.23,1672991.49,1079052.7
2030,1264186.29,14098.2,1672991.49,1076304.89
2031,1263754.63,14079.86,1672991.49,1070809.27
2032,1263552.1,,,1068061.46
2033,1263132.35,,,1063939.75
2034,1262920.77,,,1061191.94
2035,1261874.31,,,1048826.79
2036,1261454.77,,,1043331.17
