year,annotation,diesel generation efficiency
2002,,14.25
2003,,14.57
2004,,14.49
2005,,14.05
2006,,13.35
2007,,13.28
2008,,13.2
2009,,13.85
2010,,14.0
2011,,13.88
2012,,13.63
2013,,13.83
2014,,13.72
2015,,14.66
2016,start of forecast,14.07
2017,,14.07
2018,,14.07
2019,,14.07
2020,,14.07
2021,,14.07
2022,,14.07
2023,,14.07
2024,,14.07
2025,,14.07
2026,,14.07
2027,,14.07
2028,,14.07
2029,,14.07
2030,,14.07
2031,,14.07
2032,,14.07
2033,,14.07
2034,,14.07
2035,,14.07
2036,,14.07
2037,,14.07
2038,,14.07
2039,,14.07
2040,,14.07
