year,annotation,consumption,consumption residential,consumption non-residential
2003,,670649.0,437048.0,233601.0
2004,,672564.0,432546.0,240018.0
2005,,679608.0,426557.0,253051.0
2006,,832917.0,456934.0,375983.0
2007,,796126.0,439543.0,356583.0
2008,,784943.0,414024.0,370919.0
2009,,812053.0,448136.0,363917.0
2010,,916348.0,447895.0,468453.0
2011,,939908.0,435480.0,504428.0
2012,,1019892.0,483287.0,536605.0
2013,,1045152.0,483322.0,561830.0
2014,,1105184.0,494178.0,611006.0
2015,,1326853.0,506808.0,820045.0
2016,start of forecast,1119794.0,455501.0,664294.0
2017,,1120192.0,455898.0,664294.0
2018,,1120688.0,456394.0,664294.0
2019,,1121187.0,456894.0,664294.0
2020,,1121814.0,457521.0,664294.0
2021,,1122453.0,458159.0,664294.0
2022,,1122909.0,458616.0,664294.0
2023,,1123333.0,459039.0,664294.0
2024,,1123872.0,459579.0,664294.0
2025,,1124846.0,460552.0,664294.0
2026,,1125347.0,461053.0,664294.0
2027,,1125828.0,461535.0,664294.0
2028,,1126228.0,461934.0,664294.0
2029,,1126742.0,462448.0,664294.0
2030,,1127264.0,462970.0,664294.0
2031,,1127784.0,463490.0,664294.0
2032,,1128310.0,464017.0,664294.0
2033,,1128828.0,464534.0,664294.0
2034,,1129422.0,465128.0,664294.0
2035,,1129966.0,465672.0,664294.0
2036,,1130523.0,466229.0,664294.0
2037,,1131084.0,466790.0,664294.0
2038,,1131653.0,467359.0,664294.0
2039,,1132459.0,468165.0,664294.0
2040,,1133373.0,469079.0,664294.0
