year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,22141.39,421304.06,340817.92,15959.19,367000.12,291702.41
2018,23777.47,448137.85,359834.11,16540.96,376765.83,299464.48
2019,25969.7,484810.69,391245.29,17290.98,390112.3,313596.2
2020,27199.97,501805.42,409049.78,17774.18,396297.25,322147.46
2021,28163.66,513433.4,423229.19,18179.18,400529.06,329205.1
2022,28896.77,522377.99,435631.71,18482.01,403784.3,335527.71
2023,29470.99,528639.21,446177.15,18731.13,406062.96,341088.8
2024,30063.03,534005.97,456159.99,19006.37,408016.1,346414.69
2025,30950.31,540267.19,466945.96,19448.57,410294.77,352055.17
2026,31639.26,547422.86,478561.79,19746.15,412898.96,358019.07
2027,32272.28,553684.08,489606.1,20023.36,415177.62,363744.82
2028,32759.83,558156.38,499329.22,20242.04,416805.24,368935.45
2029,33475.34,565312.05,511337.02,20549.92,419409.43,375028.72
2030,34042.7,569784.35,521265.04,20814.65,421037.05,380286.98
2031,34775.41,576940.03,527191.24,21128.81,423641.24,382639.12
2032,,,540278.34,,,389138.13
2033,,,552767.2,,,395390.17
2034,,,566166.09,,,401992.09
2035,,,577396.12,,,407729.6
2036,,,591088.99,,,414428.54
