year,Base case cost,Modeled non-residential energy efficiency
2017,788304.184136,801507.113719
2018,824903.681064,833021.67545
2019,874922.993532,877084.723431
2020,898102.67492,896228.405558
2021,913962.456922,908616.909409
2022,926162.289232,917654.942518
2023,934702.171848,923341.202464
2024,942022.071234,927945.111495
2025,950561.95385,933736.121668
2026,960321.819698,940713.019989
2027,968861.702314,946603.927767
2028,974961.618469,950272.341118
2029,984721.484317,957393.865742
2030,990821.400471,961155.315986
2031,1000581.26632,968367.696949
