year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,12370.0,9146.52932826
2018,12370.0,9146.52932826
2019,12370.0,9146.52932826
2020,12370.0,9146.52932826
2021,12370.0,9146.52932826
2022,12370.0,9146.52932826
2023,12370.0,9146.52932826
2024,12370.0,9146.52932826
2025,12370.0,9146.52932826
2026,12370.0,9146.52932826
2027,12370.0,9146.52932826
2028,12370.0,9146.52932826
2029,12370.0,9146.52932826
2030,12370.0,9146.52932826
2031,12370.0,9146.52932826
2032,,
2033,,
2034,,
2035,,
2036,,
