year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,18028.46,0.0,0.0
2004,,18028.46,0.0,0.0
2005,,18028.46,0.0,0.0
2006,,18028.46,398053.0,398053.0
2007,,18028.46,1347424.0,1347424.0
2008,,18028.46,1353476.0,1353476.0
2009,,18028.46,1370976.0,1370976.0
2010,,18028.46,1379157.0,1379157.0
2011,,18028.46,1400435.0,1400435.0
2012,,18028.46,1433094.0,1433094.0
2013,,18028.46,353514.0,353514.0
2014,,18028.46,1472581.0,1472581.0
2015,,18028.46,753993.0,753993.0
2016,start of forecast,18028.46,1389000.0,1389000.0
2017,,18028.46,1388000.0,1388000.0
2018,,18028.46,1390000.0,1390000.0
2019,,18028.46,1393000.0,1393000.0
2020,,18028.46,1394000.0,1394000.0
2021,,18028.46,1393000.0,1393000.0
2022,,18028.46,1394000.0,1394000.0
2023,,18028.46,1395000.0,1395000.0
2024,,18028.46,1395000.0,1395000.0
2025,,18028.46,1396000.0,1396000.0
2026,,18028.46,1396000.0,1396000.0
2027,,18028.46,1398000.0,1398000.0
2028,,18028.46,1398000.0,1398000.0
2029,,18028.46,1398000.0,1398000.0
2030,,18028.46,1398000.0,1398000.0
2031,,18028.46,1398000.0,1398000.0
2032,,18028.46,1398000.0,1398000.0
2033,,18028.46,1396000.0,1396000.0
2034,,18028.46,1395000.0,1395000.0
2035,,18028.46,1393000.0,1393000.0
2036,,18028.46,1393000.0,1393000.0
2037,,18028.46,1395000.0,1395000.0
2038,,18028.46,1396000.0,1396000.0
2039,,18028.46,1399000.0,1399000.0
2040,,18028.46,1400000.0,1400000.0
