year,Base case cost,Modeled solar power (pv)
2016,609454.156063,617062.372549
2017,706457.84564,712340.851368
2018,776909.760532,781511.600173
2019,874499.379341,877461.311859
2020,918413.020221,920523.537463
2021,949725.132403,951162.510327
2022,972990.843144,973902.516085
2023,988755.579657,989259.061347
2024,1001938.98739,1002070.27687
2025,1017734.77545,1017476.96084
2026,1036581.71573,1035892.48537
2027,1053165.94313,1052106.52443
2028,1066377.70227,1064982.47313
2029,1083364.24974,1081591.14525
2030,1094688.61472,1092621.67001
2031,1113562.55636,1111110.12761
2032,1132436.49799,1129607.61761
2033,1149663.35745,1146466.87679
2034,1167673.25598,1164117.84912
2035,1179163.67924,1175329.93333
