year,Base case diesel consumed,Modeled diesel efficiency
2019,116108.003815,105552.730741
2020,116614.709567,106013.372334
2021,117266.188391,106605.62581
2022,117845.28068,107132.073345
2023,118424.372968,107658.52088
2024,119075.851792,108250.774357
2025,119727.330617,108843.027834
2026,120378.809441,109435.28131
2027,121102.674802,110093.340729
2028,121754.153626,110685.594206
2029,122478.018987,111343.653624
2030,123201.884347,112001.713043
2031,123925.749707,112659.772461
2032,124649.615068,113317.83188
2033,125373.480428,113975.891298
2034,126169.732325,114699.756659
2035,126893.597685,115357.816077
2036,127689.849582,116081.681438
2037,128558.488014,116871.35274
2038,129354.739911,117595.218101
