year,Base case diesel consumed,Modeled wind power
2019,185451.825935,154242.672025
2020,185521.205593,154312.051683
2021,185590.585251,154381.431341
2022,185590.585251,154381.431341
2023,185521.205593,154312.051683
2024,185521.205593,154312.051683
2025,185521.205593,154312.051683
2026,185590.585251,154381.431341
2027,185659.964909,154450.810999
2028,185659.964909,154450.810999
2029,185659.964909,154450.810999
2030,185729.344567,154520.190657
2031,185729.344567,154520.190657
2032,185798.724225,154589.570315
2033,185798.724225,154589.570315
2034,185798.724225,154589.570315
2035,185868.103883,154658.949973
2036,185868.103883,154658.949973
2037,185868.103883,154658.949973
2038,185868.103883,154658.949973
