year,Base case cost,Modeled solar power (pv)
2016,74371.1223787,81409.7945059
2017,91781.1980277,98403.7059953
2018,104274.973675,110559.194007
2019,122717.722974,128587.262378
2020,131575.656654,137175.962995
2021,137563.301856,142940.915367
2022,142601.34563,147774.65517
2023,145717.270074,150717.659821
2024,148621.933264,153453.41992
2025,151750.748225,156417.259612
2026,155859.242487,160351.518147
2027,159727.829902,164056.333774
2028,162401.179925,166582.580765
2029,166546.913458,170565.514525
2030,168747.611186,172632.503144
2031,172913.396635,176642.638524
2032,177840.438734,181411.347821
2033,182035.585917,185457.937878
2034,186734.895546,190005.955402
2035,189473.414294,192620.990652
