year,annotation,consumption,consumption residential,consumption non-residential
2003,,2535015.0,961532.0,1573483.0
2004,,2487354.0,1001646.0,1485708.0
2005,,2490341.0,993326.0,1497015.0
2006,,2535931.0,958500.0,1577431.0
2007,,2424656.0,953432.0,1471224.0
2008,,2562973.0,974296.0,1588677.0
2009,,2607340.0,1009489.0,1597851.0
2010,,2694577.0,1026128.0,1668449.0
2011,,2690210.0,1035514.0,1654696.0
2012,,2732896.0,1104476.0,1628420.0
2013,,2779034.0,999687.0,1779347.0
2014,,2692057.0,931557.0,1760500.0
2015,,2709240.0,951448.0,1757792.0
2016,start of forecast,2755373.0,989494.0,1765880.0
2017,,2754822.0,988942.0,1765880.0
2018,,2754260.0,988380.0,1765880.0
2019,,2753685.0,987806.0,1765880.0
2020,,2753101.0,987222.0,1765880.0
2021,,2752506.0,986626.0,1765880.0
2022,,2751896.0,986016.0,1765880.0
2023,,2751269.0,985390.0,1765880.0
2024,,2750628.0,984749.0,1765880.0
2025,,2749976.0,984096.0,1765880.0
2026,,2749313.0,983433.0,1765880.0
2027,,2748641.0,982761.0,1765880.0
2028,,2747959.0,982079.0,1765880.0
2029,,2747256.0,981377.0,1765880.0
2030,,2746542.0,980662.0,1765880.0
2031,,2745815.0,979935.0,1765880.0
2032,,2745081.0,979201.0,1765880.0
2033,,2744335.0,978455.0,1765880.0
2034,,2743575.0,977695.0,1765880.0
2035,,2742797.0,976918.0,1765880.0
2036,,2742002.0,976122.0,1765880.0
2037,,2741189.0,975309.0,1765880.0
2038,,2740361.0,974481.0,1765880.0
2039,,2739521.0,973642.0,1765880.0
2040,,2738668.0,972788.0,1765880.0
