year,Base case diesel consumed,Modeled diesel efficiency
2019,1400694.66284,1273358.7844
2020,1400694.66284,1273358.7844
2021,1400502.33053,1273183.93684
2022,1400374.10899,1273067.37181
2023,1400374.10899,1273067.37181
2024,1400438.21976,1273125.65433
2025,1400245.88745,1272950.80677
2026,1399797.11206,1272542.82915
2027,1399027.78282,1271843.43893
2028,1398002.01051,1270910.91864
2029,1397040.34896,1270036.68087
2030,1395822.24433,1268929.31303
2031,1394347.69663,1267588.81512
2032,1392424.37354,1265840.33958
2033,1390372.8289,1263975.299
2034,1388257.1735,1262051.97591
2035,1386013.29656,1260012.08778
2036,1383769.41961,1257972.19965
2037,1381461.4319,1255874.029
2038,1379089.33342,1253717.57584
