year,Base case cost,Modeled biomass for heat (cordwood)
2017,336777.368361,400573.764002
2018,358136.768361,415266.981553
2019,388039.928361,436303.352526
2020,401567.548361,445256.617473
2021,410823.288361,451075.790104
2022,417943.088361,455339.635916
2023,422926.948361,458047.592062
2024,427198.828361,460252.003457
2025,432182.688361,463005.227897
2026,437878.528361,466306.74118
2027,442862.388361,469103.13683
2028,447134.268361,471393.914929
2029,452830.108361,474757.929137
2030,455678.028361,476036.01898
2031,462085.848361,479965.744462
2032,,
2033,,
2034,,
2035,,
2036,,
