year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,45803.13,336779.52,357376.48,28378.2,181585.01,300714.55
2018,49124.72,358139.06,381878.28,29901.22,189675.14,317161.88
2019,53684.81,388042.41,419987.44,31965.09,201001.33,342564.23
2020,56019.58,401570.12,438165.15,33058.7,206125.08,354610.69
2021,57867.65,410825.91,457672.48,33954.11,209630.8,367382.79
2022,59245.36,417945.76,470101.91,34614.16,212327.51,375522.68
2023,60363.77,422929.65,480512.17,35166.52,214215.21,382305.46
2024,61415.06,427201.56,490300.91,35693.7,215833.23,388663.33
2025,62566.78,432185.45,500930.87,36262.94,217720.93,395563.17
2026,63893.63,437881.33,517973.44,36917.97,219878.3,406553.25
2027,65538.76,442865.22,534500.28,37773.82,221766.0,417174.78
2028,66701.06,447137.13,550462.56,38359.93,223384.02,427401.75
2029,68088.61,452833.0,562519.63,39044.49,225541.39,435155.75
2030,69061.97,455680.94,577222.59,39549.09,226620.08,444524.22
2031,70814.95,462088.8,596221.2,40427.01,229047.11,456650.29
2032,,,608774.64,,,464668.77
2033,,,628269.62,,,477059.32
2034,,,642022.33,,,485810.56
2035,,,659384.22,,,496783.29
2036,,,679635.96,,,509577.07
