year,Base case cost,Modeled residential energy efficiency
2017,149882.62393,157561.51681
2018,160270.706618,166491.62872
2019,174814.022382,179177.742895
2020,181343.674357,184649.718922
2021,186092.512157,188526.053927
2022,189654.140508,191341.637476
2023,192028.559408,193096.247319
2024,194106.175945,194592.342148
2025,196480.594846,196364.827162
2026,199151.816108,198413.495371
2027,201823.037371,200470.586059
2028,193572.011028,191701.385566
2029,196389.632599,193891.890152
2030,197798.443384,194827.646912
2031,200616.064955,197033.655739
2032,203433.686526,199247.14523
2033,206251.308097,201467.940054
2034,198476.599803,193074.295346
2035,200343.653465,194446.354634
2036,203010.872982,196537.652052
