year,Base case diesel consumed,Modeled diesel efficiency
2019,105079.221112,95526.5646471
2020,105079.221112,95526.5646471
2021,105079.221112,95526.5646471
2022,105079.221112,95526.5646471
2023,105079.221112,95526.5646471
2024,105079.221112,95526.5646471
2025,105079.221112,95526.5646471
2026,105079.221112,95526.5646471
2027,105079.221112,95526.5646471
2028,105079.221112,95526.5646471
2029,105079.221112,95526.5646471
2030,105079.221112,95526.5646471
2031,105006.046167,95460.0419697
2032,105006.046167,95460.0419697
2033,105006.046167,95460.0419697
2034,105006.046167,95460.0419697
2035,105006.046167,95460.0419697
2036,105006.046167,95460.0419697
2037,105006.046167,95460.0419697
2038,105006.046167,95460.0419697
