year,Base case cost,Modeled water and wastewater efficiency
2017,28297.4977206,17058.3516188
2018,29826.5627355,17972.2748708
2019,31873.6108872,19201.5366161
2020,32971.0433756,19853.7665096
2021,33777.6106324,20328.4295635
2022,34525.7186978,20766.6751176
2023,35039.6972677,21065.585608
2024,35406.498159,21275.9931447
2025,35906.5004426,21567.2774884
2026,36483.4886333,21903.9662334
2027,37332.9349745,22400.71498
2028,37807.773309,22676.8426858
2029,38410.548001,23029.5578399
2030,38777.8031595,23241.8025143
2031,39284.3813968,23538.5780884
