year,Base case diesel consumed,Modeled diesel efficiency
2019,39879.0813882,36253.7103529
2020,39785.468521,36168.6077464
2021,39785.468521,36168.6077464
2022,39785.468521,36168.6077464
2023,39785.468521,36168.6077464
2024,39785.468521,36168.6077464
2025,39785.468521,36168.6077464
2026,39785.468521,36168.6077464
2027,39691.8556539,36083.5051399
2028,39691.8556539,36083.5051399
2029,39691.8556539,36083.5051399
2030,39691.8556539,36083.5051399
2031,39691.8556539,36083.5051399
2032,39691.8556539,36083.5051399
2033,39691.8556539,36083.5051399
2034,39691.8556539,36083.5051399
2035,39691.8556539,36083.5051399
2036,39691.8556539,36083.5051399
2037,39691.8556539,36083.5051399
2038,39598.2427868,35998.4025335
