year,Base case cost,Modeled residential energy efficiency
2017,224372.086457,214477.902976
2018,236720.963057,225780.313548
2019,253502.769718,241217.529091
2020,261102.078394,248104.274526
2021,266484.92204,252930.524855
2022,270601.21424,256581.185293
2023,258687.209586,244292.406713
2024,260792.779105,246070.690745
2025,263199.14427,248132.257785
2026,266507.896372,251035.334419
2027,268914.261537,253104.856769
2028,271320.626702,255178.217488
2029,274027.787513,257534.488204
2030,275832.561387,259056.9347
2031,279141.313488,261978.763911
2032,282149.269945,264624.922507
2033,285458.022047,267553.651849
2034,288766.774148,270485.710446
2035,290872.343668,272304.373902
2036,277547.968886,258609.731863
