year,annotation,consumption,consumption residential,consumption non-residential
2003,,1970699.0,960172.0,1010527.0
2004,,1867293.0,940878.0,926415.0
2005,,1793644.0,947239.0,846405.0
2006,,1854203.0,956779.0,897424.0
2007,,1857279.0,952299.0,904980.0
2008,,1853463.0,948802.0,904661.0
2009,,1981330.0,984636.0,996694.0
2010,,1935406.0,949902.0,985504.0
2011,,1942929.0,938577.0,1004352.0
2012,,1953591.0,927456.0,1026135.0
2013,,1874173.0,922893.0,951280.0
2014,,1782918.0,856293.0,926625.0
2015,,1888785.0,868338.0,1020447.0
2016,start of forecast,1867266.0,901148.0,966117.0
2017,,1868490.0,902373.0,966117.0
2018,,1870246.0,904129.0,966117.0
2019,,1870157.0,904040.0,966117.0
2020,,1871023.0,904906.0,966117.0
2021,,1871459.0,905342.0,966117.0
2022,,1869819.0,903701.0,966117.0
2023,,1866722.0,900605.0,966117.0
2024,,1864682.0,898564.0,966117.0
2025,,1864232.0,898114.0,966117.0
2026,,1864684.0,898566.0,966117.0
2027,,1865570.0,899453.0,966117.0
2028,,1866669.0,900552.0,966117.0
2029,,1866943.0,900826.0,966117.0
2030,,1866293.0,900176.0,966117.0
2031,,1869290.0,903173.0,966117.0
2032,,1868964.0,902847.0,966117.0
2033,,1870068.0,903950.0,966117.0
2034,,1869744.0,903626.0,966117.0
2035,,1870079.0,903962.0,966117.0
2036,,1871187.0,905069.0,966117.0
2037,,1872193.0,906076.0,966117.0
2038,,1873113.0,906996.0,966117.0
2039,,1873340.0,907223.0,966117.0
2040,,1875151.0,909034.0,966117.0
